date,relative_temp,co2,ch4,n2o,sf6,relative_co2,relative_ch4,relative_n2o,relative_sf6
2001-01-01,0.47,370.68,1772.86,316.3,4.69,0.5,-0.36,0.01,0.02
2001-02-01,0.41,371.18,1772.5,316.31,4.71,0.5,-0.36,0.01,0.02
2001-03-01,0.65,371.59,1773.63,316.21,4.73,0.41,1.13,-0.1,0.02
2001-04-01,0.59,371.9,1773.84,316.12,4.75,0.31,0.21,-0.09,0.02
2001-05-01,0.62,371.8,1770.73,316.11,4.76,-0.1,-3.11,-0.01,0.01
2001-06-01,0.55,370.85,1765.82,316.17,4.76,-0.95,-4.91,0.06,0.0
2001-07-01,0.6,369.46,1762.73,316.24,4.77,-1.39,-3.09,0.07,0.01
2001-08-01,0.61,368.32,1764.31,316.3,4.79,-1.14,1.58,0.06,0.02
2001-09-01,0.54,368.36,1770.39,316.41,4.81,0.04,6.08,0.11,0.02
2001-10-01,0.52,369.71,1775.5,316.59,4.83,1.35,5.11,0.18,0.02
2001-11-01,0.71,371.05,1776.57,316.76,4.86,1.34,1.07,0.17,0.03
2001-12-01,0.57,371.96,1775.9,316.87,4.88,0.91,-0.67,0.11,0.02
2002-01-01,0.71,372.51,1774.09,316.93,4.89,0.55,-1.81,0.06,0.01
2002-02-01,0.79,372.91,1772.84,316.97,4.91,0.4,-1.25,0.04,0.02
2002-03-01,0.82,373.38,1773.37,316.96,4.93,0.47,0.53,-0.01,0.02
2002-04-01,0.58,373.72,1772.7,316.9,4.95,0.34,-0.67,-0.06,0.02
2002-05-01,0.59,373.71,1770.28,316.85,4.96,-0.01,-2.42,-0.05,0.01
2002-06-01,0.6,372.84,1766.87,316.83,4.96,-0.87,-3.41,-0.02,0.0
2002-07-01,0.63,371.41,1764.32,316.82,4.98,-1.43,-2.55,-0.01,0.02
2002-08-01,0.56,370.37,1767.08,316.82,4.99,-1.04,2.76,0.0,0.01
2002-09-01,0.59,370.69,1773.74,316.87,5.01,0.32,6.66,0.05,0.02
2002-10-01,0.49,371.96,1778.23,316.99,5.03,1.27,4.49,0.12,0.02
2002-11-01,0.59,373.29,1779.58,317.13,5.06,1.33,1.35,0.14,0.03
2002-12-01,0.49,374.26,1779.7,317.24,5.09,0.97,0.12,0.11,0.03
2003-01-01,0.71,374.94,1777.53,317.29,5.11,0.68,-2.17,0.05,0.02
2003-02-01,0.59,375.48,1774.86,317.34,5.12,0.54,-2.67,0.05,0.01
2003-03-01,0.61,375.92,1774.82,317.4,5.15,0.44,-0.04,0.06,0.03
2003-04-01,0.58,376.4,1775.72,317.47,5.19,0.48,0.9,0.07,0.04
2003-05-01,0.63,376.55,1774.42,317.51,5.22,0.15,-1.3,0.04,0.03
2003-06-01,0.56,375.72,1771.67,317.53,5.23,-0.83,-2.75,0.02,0.01
2003-07-01,0.6,374.17,1770.68,317.57,5.24,-1.55,-0.99,0.04,0.01
2003-08-01,0.66,372.94,1774.26,317.63,5.25,-1.23,3.58,0.06,0.01
2003-09-01,0.65,373.11,1780.47,317.76,5.28,0.17,6.21,0.13,0.03
2003-10-01,0.74,374.39,1784.66,317.93,5.3,1.28,4.19,0.17,0.02
2003-11-01,0.57,375.67,1785.33,318.04,5.32,1.28,0.67,0.11,0.02
2003-12-01,0.76,376.53,1783.57,318.11,5.34,0.86,-1.76,0.07,0.02
2004-01-01,0.61,377.21,1780.9,318.18,5.36,0.68,-2.67,0.07,0.02
2004-02-01,0.73,377.73,1779.99,318.2,5.38,0.52,-0.91,0.02,0.02
2004-03-01,0.7,378.16,1780.98,318.17,5.4,0.43,0.99,-0.03,0.02
2004-04-01,0.6,378.47,1780.7,318.14,5.42,0.31,-0.28,-0.03,0.02
2004-05-01,0.44,378.4,1777.58,318.14,5.44,-0.07,-3.12,0.0,0.02
2004-06-01,0.48,377.51,1772.28,318.13,5.44,-0.89,-5.3,-0.01,0.0
2004-07-01,0.47,375.96,1767.99,318.13,5.45,-1.55,-4.29,0.0,0.01
2004-08-01,0.52,374.49,1769.74,318.17,5.47,-1.47,1.75,0.04,0.02
2004-09-01,0.55,374.39,1775.47,318.23,5.49,-0.1,5.73,0.06,0.02
2004-10-01,0.6,375.73,1779.67,318.34,5.51,1.34,4.2,0.11,0.02
2004-11-01,0.75,377.2,1780.5,318.56,5.54,1.47,0.83,0.22,0.03
2004-12-01,0.51,378.17,1778.28,318.76,5.56,0.97,-2.22,0.2,0.02
2005-01-01,0.65,378.73,1776.02,318.87,5.58,0.56,-2.26,0.11,0.02
2005-02-01,0.55,379.27,1775.62,318.89,5.6,0.54,-0.4,0.02,0.02
2005-03-01,0.74,379.87,1775.46,318.87,5.62,0.6,-0.16,-0.02,0.02
2005-04-01,0.72,380.32,1774.6,318.79,5.64,0.45,-0.86,-0.08,0.02
2005-05-01,0.66,380.42,1772.33,318.66,5.65,0.1,-2.27,-0.13,0.01
2005-06-01,0.67,379.6,1768.69,318.6,5.65,-0.82,-3.64,-0.06,0.0
2005-07-01,0.66,377.94,1766.31,318.65,5.66,-1.66,-2.38,0.05,0.01
2005-08-01,0.63,376.73,1768.06,318.77,5.68,-1.21,1.75,0.12,0.02
2005-09-01,0.68,376.76,1773.21,318.9,5.7,0.03,5.15,0.13,0.02
2005-10-01,0.68,378.07,1778.58,319.1,5.73,1.31,5.37,0.2,0.03
2005-11-01,0.72,379.53,1781.13,319.36,5.75,1.46,2.55,0.26,0.02
2005-12-01,0.63,380.53,1780.11,319.57,5.78,1.0,-1.02,0.21,0.03
2006-01-01,0.5,381.33,1779.48,319.73,5.81,0.8,-0.63,0.16,0.03
2006-02-01,0.7,381.95,1779.45,319.8,5.83,0.62,-0.03,0.07,0.02
2006-03-01,0.64,382.34,1777.36,319.77,5.85,0.39,-2.09,-0.03,0.02
2006-04-01,0.52,382.67,1776.15,319.7,5.87,0.33,-1.21,-0.07,0.02
2006-05-01,0.55,382.63,1775.03,319.68,5.89,-0.04,-1.12,-0.02,0.02
2006-06-01,0.66,381.76,1769.32,319.66,5.9,-0.87,-5.71,-0.02,0.01
2006-07-01,0.62,380.07,1764.17,319.63,5.91,-1.69,-5.15,-0.03,0.01
2006-08-01,0.65,378.48,1767.23,319.67,5.93,-1.59,3.06,0.04,0.02
2006-09-01,0.64,378.63,1774.56,319.82,5.95,0.15,7.33,0.15,0.02
2006-10-01,0.68,380.08,1778.2,320.0,5.97,1.45,3.64,0.18,0.02
2006-11-01,0.64,381.44,1779.06,320.16,6.0,1.36,0.86,0.16,0.03
2006-12-01,0.79,382.39,1779.95,320.26,6.03,0.95,0.89,0.1,0.03
2007-01-01,0.92,383.03,1779.22,320.36,6.06,0.64,-0.73,0.1,0.03
2007-02-01,0.68,383.55,1778.67,320.39,6.09,0.52,-0.55,0.03,0.03
2007-03-01,0.66,384.02,1780.32,320.29,6.12,0.47,1.65,-0.1,0.03
2007-04-01,0.73,384.28,1781.11,320.19,6.14,0.26,0.79,-0.1,0.02
2007-05-01,0.61,384.13,1779.45,320.23,6.16,-0.15,-1.66,0.04,0.02
2007-06-01,0.55,383.26,1775.6,320.25,6.16,-0.87,-3.85,0.02,0.0
2007-07-01,0.56,381.55,1772.59,320.19,6.17,-1.71,-3.01,-0.06,0.01
